epoch,step,train_loss,valid_loss,lr,time
13,10,7.303927373886109,, 0.0005,2025-05-24 15:08:16
13,20,7.123546123504639,, 0.0005,2025-05-24 15:08:24
13,30,7.145922867457072,, 0.0005,2025-05-24 15:08:32
13,40,7.13507512807846,, 0.0005,2025-05-24 15:08:40
13,50,7.070534505844116,, 0.0005,2025-05-24 15:08:48
13,60,7.0601399103800455,, 0.0005,2025-05-24 15:08:56
13,end,7.050024236951556,7.881416141986847,0.0005,2025-05-24 15:09:05
14,10,6.118906450271607,, 0.0005,2025-05-24 15:09:13
14,20,6.207835173606872,, 0.0005,2025-05-24 15:09:21
14,30,6.13411013285319,, 0.0005,2025-05-24 15:09:29
14,40,6.1238373756408695,, 0.0005,2025-05-24 15:09:37
14,50,6.192373390197754,, 0.0005,2025-05-24 15:09:46
14,60,6.226888116200765,, 0.0005,2025-05-24 15:09:55
14,end,6.209614768860832,6.162670314311981,0.0005,2025-05-24 15:10:04
15,10,5.618837165832519,, 0.0005,2025-05-24 15:10:13
15,20,5.6531309366226195,, 0.0005,2025-05-24 15:10:21
15,30,5.600636625289917,, 0.0005,2025-05-24 15:10:29
15,40,5.482474243640899,, 0.0005,2025-05-24 15:10:37
15,50,5.375283946990967,, 0.0005,2025-05-24 15:10:46
15,60,5.3426220417022705,, 0.0005,2025-05-24 15:10:54
15,end,5.341850848425002,6.047753095626831,0.0005,2025-05-24 15:11:02
16,10,4.734583997726441,, 0.0005,2025-05-24 15:11:11
16,20,4.741516900062561,, 0.0005,2025-05-24 15:11:19
16,30,4.709351968765259,, 0.0005,2025-05-24 15:11:27
16,40,4.620001113414764,, 0.0005,2025-05-24 15:11:35
16,50,4.6370022678375244,, 0.0005,2025-05-24 15:11:43
16,60,4.680192343393961,, 0.0005,2025-05-24 15:11:51
16,end,4.686043050554064,6.009497702121735,0.0005,2025-05-24 15:12:00
17,10,4.177103066444397,, 0.0005,2025-05-24 15:12:09
17,20,4.396436727046966,, 0.0005,2025-05-24 15:12:17
17,30,4.272197683652242,, 0.0005,2025-05-24 15:12:25
17,40,4.259604597091675,, 0.0005,2025-05-24 15:12:33
17,50,4.334450597763062,, 0.0005,2025-05-24 15:12:41
17,60,4.3066433548927305,, 0.0005,2025-05-24 15:12:49
17,end,4.294754648965503,5.94777238368988,0.0005,2025-05-24 15:12:57
18,10,3.731504464149475,, 0.0005,2025-05-24 15:13:06
18,20,3.6419579863548277,, 0.0005,2025-05-24 15:13:15
18,30,3.781131466229757,, 0.0005,2025-05-24 15:13:23
18,40,3.8514118790626526,, 0.0005,2025-05-24 15:13:32
18,50,3.867041230201721,, 0.0005,2025-05-24 15:13:40
18,60,3.8420816620190936,, 0.0005,2025-05-24 15:13:48
18,end,3.827011297619532,5.244759678840637,0.0005,2025-05-24 15:13:57
19,10,3.1522626876831055,, 0.0005,2025-05-24 15:14:05
19,20,3.1856818199157715,, 0.0005,2025-05-24 15:14:14
19,30,3.2569812138875327,, 0.0005,2025-05-24 15:14:22
19,40,3.2747737526893617,, 0.0005,2025-05-24 15:14:31
19,50,3.2740683507919313,, 0.0005,2025-05-24 15:14:39
19,60,3.297616255283356,, 0.0005,2025-05-24 15:14:47
19,end,3.2982522835807195,5.14865106344223,0.0005,2025-05-24 15:14:56
20,10,2.794088578224182,, 0.0005,2025-05-24 15:15:04
20,20,2.8302090883255007,, 0.0005,2025-05-24 15:15:13
20,30,2.8566481669743857,, 0.0005,2025-05-24 15:15:21
20,40,2.939678746461868,, 0.0005,2025-05-24 15:15:30
20,50,2.919606876373291,, 0.0005,2025-05-24 15:15:39
20,60,2.8912656863530475,, 0.0005,2025-05-24 15:15:48
20,end,2.88507398348006,4.556819379329681,0.0005,2025-05-24 15:15:56
21,10,2.401673412322998,, 0.0005,2025-05-24 15:16:05
21,20,2.452037000656128,, 0.0005,2025-05-24 15:16:13
21,30,2.51003938515981,, 0.0005,2025-05-24 15:16:21
21,40,2.5070311784744264,, 0.0005,2025-05-24 15:16:29
21,50,2.5539610385894775,, 0.0005,2025-05-24 15:16:37
21,60,2.598984436194102,, 0.0005,2025-05-24 15:16:45
